order_id,customer_id,order_date,channel,region,subtotal,discount_amount,shipping_fee,net_revenue,gross_revenue,status
75,30,2024-01-09,Social Media,Central,116.08,0.0,0.0,116.08,116.08,Completed
76,30,2024-06-16,Referral,Central,263.9,0.0,0.0,263.9,263.9,Completed
77,31,2024-09-13,Organic Search,Central,214.53,32.18,0.0,182.35,182.35,Completed
78,31,2025-02-17,Paid Ads,Central,25.09,0.0,6.89,31.98,31.98,Completed
79,31,2025-08-07,Email,Central,488.51,24.43,0.0,0.0,464.08,Returned
80,31,2025-08-17,Email,Central,787.51,0.0,0.0,787.51,787.51,Completed
81,31,2025-09-03,Social Media,Central,485.41,72.81,0.0,412.6,412.6,Completed
82,31,2025-12-29,Direct,Central,2497.77,0.0,0.0,2497.77,2497.77,Completed
83,32,2023-11-27,Social Media,Central,257.58,0.0,0.0,0.0,257.58,Returned
84,32,2024-03-21,Email,Central,732.29,36.61,0.0,695.68,695.68,Completed
85,32,2024-04-19,Social Media,Central,169.84,0.0,0.0,169.84,169.84,Completed
86,32,2025-02-15,Referral,Central,1586.61,79.33,0.0,1507.28,1507.28,Completed
87,32,2025-03-29,Social Media,Central,92.74,4.64,0.0,88.1,88.1,Completed
88,34,2024-02-16,Organic Search,North,31.41,0.0,7.15,38.56,38.56,Completed
89,34,2024-06-11,Organic Search,North,26.92,2.69,6.88,31.11,31.11,Completed
90,34,2024-08-17,Referral,North,229.77,11.49,0.0,218.28,218.28,Completed
91,34,2024-11-12,Social Media,North,314.75,0.0,0.0,314.75,314.75,Completed
92,34,2025-02-22,Direct,North,630.82,0.0,0.0,630.82,630.82,Completed
93,34,2025-03-30,Direct,North,708.79,35.44,0.0,673.35,673.35,Completed
94,34,2025-06-12,Email,North,56.19,0.0,6.48,62.67,62.67,Completed
95,35,2025-11-09,Email,North,436.33,0.0,0.0,436.33,436.33,Completed
96,36,2023-04-17,Social Media,North,301.24,30.12,0.0,271.12,271.12,Completed
97,36,2023-05-04,Social Media,North,693.94,69.39,0.0,624.55,624.55,Completed
98,36,2023-06-19,Social Media,North,341.73,34.17,0.0,307.56,307.56,Completed
99,36,2023-10-09,Paid Ads,North,67.49,0.0,7.68,75.17,75.17,Completed
100,36,2023-12-20,Paid Ads,North,1627.88,81.39,0.0,1546.49,1546.49,Completed
101,36,2024-01-09,Organic Search,North,117.36,5.87,0.0,0.0,111.49,Returned
102,36,2024-01-27,Email,North,32.21,0.0,7.75,39.96,39.96,Completed
103,36,2024-10-31,Email,North,116.15,5.81,0.0,110.34,110.34,Completed
104,36,2025-05-24,Paid Ads,North,161.0,24.15,0.0,136.85,136.85,Completed
105,36,2025-11-21,Email,North,115.16,0.0,0.0,115.16,115.16,Completed
106,37,2023-05-06,Social Media,South,103.89,10.39,0.0,93.5,93.5,Completed
107,37,2024-09-18,Organic Search,South,288.54,0.0,0.0,288.54,288.54,Completed
108,38,2025-07-15,Social Media,West,1014.34,50.72,0.0,963.62,963.62,Completed
109,39,2025-09-22,Social Media,South,367.14,18.36,0.0,348.78,348.78,Completed
110,40,2023-07-12,Email,West,169.79,0.0,0.0,169.79,169.79,Completed
111,40,2024-02-25,Paid Ads,West,819.59,0.0,0.0,819.59,819.59,Completed
112,40,2024-12-26,Email,West,43.4,2.17,7.95,49.18,49.18,Completed
113,40,2025-09-17,Organic Search,West,1543.41,0.0,0.0,1543.41,1543.41,Completed
114,41,2024-10-19,Email,East,121.32,6.07,0.0,115.25,115.25,Completed
115,41,2024-12-17,Organic Search,East,166.72,0.0,0.0,166.72,166.72,Completed
116,42,2024-02-20,Paid Ads,East,107.97,0.0,0.0,107.97,107.97,Completed
117,42,2024-05-25,Organic Search,East,867.44,43.37,0.0,824.07,824.07,Completed
118,42,2024-05-27,Paid Ads,East,948.69,0.0,0.0,948.69,948.69,Completed
119,42,2024-08-24,Organic Search,East,1820.52,0.0,0.0,1820.52,1820.52,Completed
120,42,2024-10-23,Organic Search,East,1374.88,0.0,0.0,1374.88,1374.88,Completed
121,42,2024-10-31,Paid Ads,East,270.64,0.0,0.0,270.64,270.64,Completed
122,42,2025-11-12,Paid Ads,East,751.1,150.22,0.0,600.88,600.88,Completed
123,43,2025-03-07,Social Media,East,33.97,0.0,8.64,42.61,42.61,Completed
124,44,2024-02-05,Direct,South,525.29,105.06,0.0,420.23,420.23,Completed
125,44,2024-03-25,Organic Search,South,221.4,0.0,0.0,221.4,221.4,Completed
126,44,2025-04-03,Direct,South,37.91,0.0,5.43,43.34,43.34,Completed
127,44,2025-08-07,Organic Search,South,2253.15,112.66,0.0,0.0,2140.49,Returned
128,45,2023-06-05,Direct,North,1469.21,220.38,0.0,1248.83,1248.83,Completed
129,45,2023-10-11,Paid Ads,North,889.43,0.0,0.0,889.43,889.43,Completed
130,45,2023-11-08,Email,North,657.74,0.0,0.0,657.74,657.74,Completed
131,45,2025-03-28,Paid Ads,North,201.36,10.07,0.0,191.29,191.29,Completed
132,45,2025-12-24,Email,North,710.54,106.58,0.0,603.96,603.96,Completed
133,46,2024-10-28,Direct,West,1204.69,240.94,0.0,963.75,963.75,Completed
134,47,2023-07-10,Paid Ads,West,296.55,0.0,0.0,296.55,296.55,Completed
135,47,2024-04-30,Social Media,West,211.6,0.0,0.0,211.6,211.6,Completed
136,47,2025-03-31,Paid Ads,West,170.25,0.0,0.0,170.25,170.25,Completed
137,47,2025-04-28,Paid Ads,West,328.04,32.8,0.0,295.24,295.24,Completed
138,47,2025-12-09,Email,West,1043.31,0.0,0.0,1043.31,1043.31,Completed
139,49,2024-07-01,Social Media,North,1628.8,0.0,0.0,1628.8,1628.8,Completed
140,49,2024-08-28,Social Media,North,119.4,17.91,0.0,101.49,101.49,Completed
141,49,2024-11-04,Email,North,1241.42,124.14,0.0,1117.28,1117.28,Completed
142,49,2024-11-05,Social Media,North,560.58,0.0,0.0,560.58,560.58,Completed
143,49,2024-11-07,Organic Search,North,474.68,0.0,0.0,474.68,474.68,Completed
144,49,2024-12-26,Referral,North,32.1,3.21,4.73,33.62,33.62,Completed
145,49,2025-02-18,Organic Search,North,173.32,0.0,0.0,173.32,173.32,Completed
146,49,2025-06-16,Social Media,North,512.39,0.0,0.0,512.39,512.39,Completed
147,49,2025-11-15,Social Media,North,1162.86,0.0,0.0,1162.86,1162.86,Completed
148,49,2025-12-13,Social Media,North,575.47,0.0,0.0,575.47,575.47,Completed
149,50,2025-03-23,Paid Ads,South,584.84,0.0,0.0,584.84,584.84,Completed
150,50,2025-12-10,Referral,South,3354.96,0.0,0.0,3354.96,3354.96,Completed
151,51,2025-07-17,Email,East,454.17,90.83,0.0,363.34,363.34,Completed
152,52,2025-02-27,Paid Ads,North,557.8,111.56,0.0,446.24,446.24,Completed
153,52,2025-03-27,Organic Search,North,2538.37,0.0,0.0,2538.37,2538.37,Completed
154,53,2024-05-02,Social Media,South,145.98,0.0,0.0,145.98,145.98,Completed
155,53,2024-10-18,Paid Ads,South,692.9,34.65,0.0,658.25,658.25,Completed
156,54,2025-01-25,Email,Central,409.38,0.0,0.0,409.38,409.38,Completed
157,54,2025-08-29,Paid Ads,Central,149.15,0.0,0.0,149.15,149.15,Completed
158,55,2024-03-03,Email,East,480.54,48.05,0.0,432.49,432.49,Completed
159,55,2024-03-18,Referral,East,299.66,44.95,0.0,254.71,254.71,Completed
160,55,2024-08-23,Paid Ads,East,28.66,1.43,4.89,32.12,32.12,Completed
161,55,2024-09-03,Paid Ads,East,40.93,0.0,8.26,49.19,49.19,Completed
162,55,2024-11-27,Paid Ads,East,435.06,0.0,0.0,435.06,435.06,Completed
163,55,2024-12-18,Paid Ads,East,77.66,0.0,0.0,77.66,77.66,Completed
164,55,2025-03-16,Social Media,East,187.94,0.0,0.0,187.94,187.94,Completed
165,55,2025-05-13,Email,East,813.62,0.0,0.0,813.62,813.62,Completed
166,56,2025-06-26,Paid Ads,Central,268.69,0.0,0.0,268.69,268.69,Completed
167,57,2024-06-01,Paid Ads,East,41.58,0.0,7.99,49.57,49.57,Completed
168,59,2023-05-09,Organic Search,South,156.82,7.84,0.0,148.98,148.98,Completed
169,59,2023-10-26,Email,South,167.21,0.0,0.0,167.21,167.21,Completed
170,59,2023-10-31,Direct,South,40.62,0.0,8.81,49.43,49.43,Completed
171,59,2023-11-10,Paid Ads,South,166.14,24.92,0.0,141.22,141.22,Completed
172,59,2023-11-25,Organic Search,South,354.98,0.0,0.0,354.98,354.98,Completed
173,59,2024-06-08,Email,South,15.95,0.0,5.96,21.91,21.91,Completed
174,59,2024-07-01,Referral,South,86.23,0.0,0.0,86.23,86.23,Completed
175,59,2024-08-01,Organic Search,South,402.13,20.11,0.0,382.02,382.02,Completed
176,59,2024-12-13,Paid Ads,South,61.69,0.0,4.97,66.66,66.66,Completed
177,59,2025-02-07,Referral,South,307.67,0.0,0.0,307.67,307.67,Completed
178,59,2025-08-27,Social Media,South,826.05,41.3,0.0,784.75,784.75,Completed
179,59,2025-12-20,Paid Ads,South,142.1,28.42,0.0,113.68,113.68,Completed
180,60,2024-03-13,Paid Ads,North,98.66,0.0,0.0,98.66,98.66,Completed
181,62,2024-08-09,Social Media,South,203.95,0.0,0.0,203.95,203.95,Completed
182,62,2025-06-08,Email,South,290.23,0.0,0.0,290.23,290.23,Completed
183,62,2025-06-12,Social Media,South,222.21,44.44,0.0,177.77,177.77,Completed
184,64,2024-06-23,Email,North,218.13,0.0,0.0,218.13,218.13,Completed
185,64,2024-12-03,Organic Search,North,1099.56,0.0,0.0,1099.56,1099.56,Completed
186,64,2025-10-29,Paid Ads,North,2113.47,0.0,0.0,2113.47,2113.47,Completed
187,65,2025-05-01,Social Media,Central,2373.02,118.65,0.0,2254.37,2254.37,Completed
188,65,2025-07-04,Organic Search,Central,1005.15,201.03,0.0,804.12,804.12,Completed
189,65,2025-08-18,Social Media,Central,949.45,94.94,0.0,854.51,854.51,Completed
190,66,2024-01-12,Paid Ads,South,206.87,41.37,0.0,165.5,165.5,Completed
191,66,2024-05-18,Social Media,South,619.81,61.98,0.0,557.83,557.83,Completed
192,66,2024-07-22,Direct,South,9.99,0.0,6.15,16.14,16.14,Completed
193,66,2025-05-11,Paid Ads,South,693.06,0.0,0.0,693.06,693.06,Completed
194,67,2024-11-11,Organic Search,South,474.96,0.0,0.0,474.96,474.96,Completed
195,67,2025-03-24,Email,South,251.04,25.1,0.0,225.94,225.94,Completed
196,68,2023-10-30,Paid Ads,East,69.24,3.46,6.45,72.23,72.23,Completed
197,69,2025-02-13,Social Media,West,141.11,0.0,0.0,141.11,141.11,Completed
198,70,2024-08-21,Social Media,North,195.48,19.55,0.0,175.93,175.93,Completed
199,70,2025-05-05,Social Media,North,978.61,0.0,0.0,978.61,978.61,Completed
200,70,2025-05-27,Email,North,881.45,0.0,0.0,881.45,881.45,Completed
201,71,2025-05-06,Social Media,Central,1176.49,0.0,0.0,0.0,1176.49,Returned
202,72,2024-08-28,Organic Search,South,376.44,0.0,0.0,0.0,376.44,Returned
203,72,2025-01-25,Referral,South,2139.0,213.9,0.0,1925.1,1925.1,Completed
204,72,2025-03-07,Paid Ads,South,496.19,49.62,0.0,446.57,446.57,Completed
205,72,2025-10-01,Organic Search,South,89.22,4.46,0.0,84.76,84.76,Completed
206,73,2023-03-24,Email,West,62.27,3.11,7.14,66.3,66.3,Completed
207,73,2023-04-10,Paid Ads,West,150.06,7.5,0.0,142.56,142.56,Completed
208,73,2023-06-04,Organic Search,West,802.72,80.27,0.0,722.45,722.45,Completed
209,73,2023-07-01,Social Media,West,955.07,0.0,0.0,955.07,955.07,Completed
210,73,2023-07-15,Direct,West,232.24,0.0,0.0,232.24,232.24,Completed
211,73,2023-07-23,Organic Search,West,173.95,0.0,0.0,173.95,173.95,Completed
212,73,2023-08-30,Social Media,West,194.73,19.47,0.0,175.26,175.26,Completed
213,73,2023-11-16,Direct,West,160.8,0.0,0.0,160.8,160.8,Completed
214,73,2024-04-15,Organic Search,West,702.44,0.0,0.0,702.44,702.44,Completed
215,73,2024-05-24,Paid Ads,West,252.7,0.0,0.0,252.7,252.7,Completed
216,74,2025-12-24,Direct,South,272.99,0.0,0.0,272.99,272.99,Completed
217,74,2025-12-25,Direct,South,18.47,0.0,4.3,22.77,22.77,Completed
218,75,2025-04-19,Email,West,357.35,0.0,0.0,357.35,357.35,Completed
219,76,2025-02-13,Paid Ads,South,386.54,0.0,0.0,386.54,386.54,Completed
220,76,2025-06-01,Direct,South,1514.73,0.0,0.0,1514.73,1514.73,Completed
221,76,2025-06-06,Email,South,547.02,0.0,0.0,547.02,547.02,Completed
222,76,2025-07-28,Email,South,27.62,0.0,6.92,34.54,34.54,Completed
223,76,2025-12-09,Social Media,South,784.51,0.0,0.0,784.51,784.51,Completed
224,77,2025-12-02,Direct,North,310.06,31.01,0.0,279.05,279.05,Completed
225,79,2025-04-10,Paid Ads,East,89.94,8.99,0.0,80.95,80.95,Completed
226,79,2025-04-25,Email,East,437.73,0.0,0.0,437.73,437.73,Completed
227,81,2025-11-17,Organic Search,North,642.75,0.0,0.0,642.75,642.75,Completed
228,82,2024-08-16,Social Media,East,59.4,2.97,7.05,0.0,63.48,Returned
229,82,2025-01-03,Organic Search,East,167.1,8.36,0.0,158.74,158.74,Completed
230,82,2025-12-01,Direct,East,34.1,0.0,6.07,40.17,40.17,Completed
231,85,2024-03-28,Email,Central,185.74,9.29,0.0,176.45,176.45,Completed
232,86,2025-08-18,Social Media,East,256.26,12.81,0.0,243.45,243.45,Completed
233,86,2025-08-20,Direct,East,118.15,11.82,0.0,106.33,106.33,Completed
234,87,2023-07-03,Paid Ads,Central,103.63,0.0,0.0,103.63,103.63,Completed
235,87,2024-04-17,Paid Ads,Central,507.08,25.35,0.0,481.73,481.73,Completed
236,88,2025-02-13,Paid Ads,West,193.91,29.09,0.0,164.82,164.82,Completed
237,88,2025-05-01,Organic Search,West,468.11,0.0,0.0,468.11,468.11,Completed
238,88,2025-08-14,Referral,West,85.38,0.0,0.0,85.38,85.38,Completed
239,89,2023-10-06,Organic Search,Central,57.33,0.0,7.86,65.19,65.19,Completed
240,89,2023-11-16,Organic Search,Central,37.16,1.86,4.72,40.02,40.02,Completed
241,89,2024-07-04,Organic Search,Central,53.83,0.0,7.99,61.82,61.82,Completed
242,90,2023-12-06,Paid Ads,West,1190.71,0.0,0.0,1190.71,1190.71,Completed
243,90,2024-01-10,Organic Search,West,250.48,25.05,0.0,225.43,225.43,Completed
244,90,2024-01-20,Organic Search,West,1495.35,0.0,0.0,1495.35,1495.35,Completed
245,90,2024-11-14,Paid Ads,West,1039.4,0.0,0.0,1039.4,1039.4,Completed
246,90,2025-02-22,Email,West,1113.37,0.0,0.0,1113.37,1113.37,Completed
247,90,2025-04-25,Direct,West,252.34,12.62,0.0,239.72,239.72,Completed
248,91,2023-09-11,Email,Central,77.93,0.0,0.0,77.93,77.93,Completed
249,92,2025-07-12,Social Media,East,1116.4,0.0,0.0,1116.4,1116.4,Completed
250,93,2025-04-04,Email,North,486.75,24.34,0.0,462.41,462.41,Completed
251,93,2025-06-03,Paid Ads,North,164.92,0.0,0.0,164.92,164.92,Completed
252,93,2025-09-10,Social Media,North,719.14,143.83,0.0,575.31,575.31,Completed
253,93,2025-12-03,Social Media,North,24.62,1.23,8.81,32.2,32.2,Completed
254,94,2024-05-13,Direct,North,272.5,27.25,0.0,245.25,245.25,Completed
255,94,2024-09-01,Paid Ads,North,2835.26,0.0,0.0,2835.26,2835.26,Completed
256,94,2024-11-16,Paid Ads,North,24.64,0.0,5.53,30.17,30.17,Completed
257,94,2025-02-04,Direct,North,225.4,0.0,0.0,225.4,225.4,Completed
258,94,2025-10-09,Organic Search,North,25.56,3.83,6.8,28.53,28.53,Completed
259,95,2023-11-10,Paid Ads,South,1147.08,0.0,0.0,1147.08,1147.08,Completed
260,95,2024-04-04,Organic Search,South,415.56,0.0,0.0,415.56,415.56,Completed
261,95,2024-04-28,Social Media,South,18.64,0.93,8.41,26.12,26.12,Completed
262,95,2025-02-20,Social Media,South,237.29,0.0,0.0,237.29,237.29,Completed
263,95,2025-09-12,Social Media,South,247.83,0.0,0.0,247.83,247.83,Completed
264,97,2023-04-26,Paid Ads,South,69.97,0.0,8.73,78.7,78.7,Completed
265,97,2023-06-29,Email,South,140.13,0.0,0.0,140.13,140.13,Completed
266,97,2023-12-23,Paid Ads,South,262.15,0.0,0.0,262.15,262.15,Completed
267,97,2024-03-15,Social Media,South,26.91,2.69,8.81,33.03,33.03,Completed
268,97,2024-04-28,Email,South,83.36,0.0,0.0,83.36,83.36,Completed
269,97,2025-01-03,Organic Search,South,92.04,0.0,0.0,92.04,92.04,Completed
270,97,2025-01-08,Referral,South,33.49,0.0,7.24,40.73,40.73,Completed
271,97,2025-02-13,Paid Ads,South,71.75,0.0,5.65,77.4,77.4,Completed
272,99,2023-11-23,Social Media,Central,183.69,27.55,0.0,156.14,156.14,Completed
273,99,2024-05-01,Organic Search,Central,79.39,3.97,0.0,75.42,75.42,Completed
274,100,2024-05-06,Email,South,712.87,71.29,0.0,641.58,641.58,Completed
275,100,2024-05-21,Email,South,554.92,27.75,0.0,527.17,527.17,Completed
276,100,2024-05-28,Social Media,South,516.78,0.0,0.0,516.78,516.78,Completed
277,100,2024-06-11,Direct,South,69.6,13.92,5.48,61.16,61.16,Completed
278,100,2024-08-26,Organic Search,South,1797.68,179.77,0.0,1617.91,1617.91,Completed
279,100,2024-09-18,Email,South,52.39,0.0,6.1,58.49,58.49,Completed
280,101,2023-07-17,Paid Ads,Central,569.83,0.0,0.0,0.0,569.83,Returned
281,101,2023-12-28,Paid Ads,Central,70.82,0.0,5.68,76.5,76.5,Completed
282,101,2024-01-06,Paid Ads,Central,2106.63,105.33,0.0,2001.3,2001.3,Completed
283,101,2024-05-15,Direct,Central,179.59,0.0,0.0,179.59,179.59,Completed
284,101,2024-06-10,Organic Search,Central,244.24,24.42,0.0,219.82,219.82,Completed
285,101,2024-07-05,Email,Central,119.45,0.0,0.0,119.45,119.45,Completed
286,101,2024-07-16,Social Media,Central,1009.34,0.0,0.0,1009.34,1009.34,Completed
287,102,2023-10-12,Organic Search,East,55.41,8.31,4.61,51.71,51.71,Completed
288,102,2023-10-28,Email,East,217.25,0.0,0.0,217.25,217.25,Completed
289,102,2024-03-15,Paid Ads,East,246.69,24.67,0.0,222.02,222.02,Completed
290,102,2024-05-03,Paid Ads,East,107.98,10.8,0.0,97.18,97.18,Completed
291,102,2024-06-16,Email,East,223.69,0.0,0.0,223.69,223.69,Completed
292,102,2024-11-17,Organic Search,East,324.87,16.24,0.0,308.63,308.63,Completed
293,102,2024-12-05,Email,East,1417.59,141.76,0.0,1275.83,1275.83,Completed
294,102,2025-03-09,Social Media,East,779.51,0.0,0.0,779.51,779.51,Completed
295,103,2024-11-29,Email,North,187.46,9.37,0.0,178.09,178.09,Completed
296,103,2024-12-07,Paid Ads,North,550.13,0.0,0.0,550.13,550.13,Completed
297,103,2025-05-10,Social Media,North,124.46,0.0,0.0,124.46,124.46,Completed
298,104,2023-10-30,Organic Search,South,785.59,78.56,0.0,707.03,707.03,Completed
299,104,2024-04-18,Paid Ads,South,244.66,0.0,0.0,244.66,244.66,Completed
300,104,2024-05-12,Direct,South,201.79,0.0,0.0,201.79,201.79,Completed
301,105,2023-12-06,Email,North,500.5,0.0,0.0,500.5,500.5,Completed
302,105,2024-01-24,Organic Search,North,190.42,9.52,0.0,180.9,180.9,Completed
303,105,2024-02-01,Direct,North,484.91,48.49,0.0,436.42,436.42,Completed
304,105,2024-02-03,Organic Search,North,114.11,11.41,0.0,102.7,102.7,Completed
305,105,2024-06-26,Organic Search,North,372.99,18.65,0.0,354.34,354.34,Completed
306,105,2024-07-09,Organic Search,North,1153.82,57.69,0.0,1096.13,1096.13,Completed
307,105,2024-07-28,Direct,North,169.91,25.49,0.0,144.42,144.42,Completed
308,105,2024-08-12,Social Media,North,129.48,6.47,0.0,123.01,123.01,Completed
309,105,2024-09-02,Paid Ads,North,668.46,0.0,0.0,668.46,668.46,Completed
310,105,2024-12-11,Organic Search,North,623.1,0.0,0.0,623.1,623.1,Completed
311,105,2025-02-11,Referral,North,1384.73,69.24,0.0,0.0,1315.49,Returned
312,106,2023-08-26,Organic Search,South,33.03,3.3,6.9,36.63,36.63,Completed
313,106,2024-07-29,Email,South,802.25,0.0,0.0,802.25,802.25,Completed
314,106,2024-09-19,Social Media,South,1307.48,0.0,0.0,1307.48,1307.48,Completed
315,106,2025-08-25,Paid Ads,South,102.58,0.0,0.0,102.58,102.58,Completed
316,106,2025-10-07,Email,South,9.25,0.0,8.12,17.37,17.37,Completed
317,106,2025-10-18,Email,South,20.81,1.04,8.96,28.73,28.73,Completed
318,107,2025-01-06,Email,Central,30.25,1.51,6.41,35.15,35.15,Completed
319,107,2025-04-26,Direct,Central,492.01,73.8,0.0,418.21,418.21,Completed
320,107,2025-05-16,Paid Ads,Central,227.87,0.0,0.0,227.87,227.87,Completed
321,107,2025-07-04,Direct,Central,166.1,8.3,0.0,157.8,157.8,Completed
322,107,2025-08-07,Referral,Central,59.85,0.0,7.71,67.56,67.56,Completed
323,110,2024-10-29,Organic Search,West,1276.29,0.0,0.0,1276.29,1276.29,Completed
324,110,2024-11-26,Email,West,118.47,5.92,0.0,112.55,112.55,Completed
325,110,2024-12-23,Email,West,469.14,23.46,0.0,445.68,445.68,Completed
