customer_id,last_order,frequency,monetary,recency,R,F,M,rfm_score,segment
92,2025-07-12,1,1116.4,172,3,1,3,7,At Risk
93,2025-12-03,4,1234.84,28,5,4,3,12,Loyal Customers
94,2025-10-09,5,3364.61,83,4,4,5,13,Champions
95,2025-09-12,5,2073.88,110,4,4,4,12,Loyal Customers
97,2025-02-13,8,807.54,321,2,5,3,10,Loyal Customers
99,2024-05-01,2,231.56,609,1,2,1,4,Hibernating
100,2024-09-18,6,3423.09,469,1,5,5,11,Loyal Customers
101,2024-07-16,6,3606.0,533,1,5,5,11,Loyal Customers
102,2025-03-09,8,3175.8199999999997,297,2,5,5,12,Loyal Customers
103,2025-05-10,3,852.6800000000001,235,3,3,3,9,Potential Loyalists
104,2024-05-12,3,1153.48,598,1,3,3,7,At Risk
105,2024-12-11,10,4229.9800000000005,385,2,5,5,12,Loyal Customers
106,2025-10-18,6,2295.04,74,4,5,4,13,Champions
107,2025-08-07,5,906.5899999999999,146,3,4,3,10,Loyal Customers
110,2025-12-11,6,2601.69,20,5,5,4,14,Champions
111,2025-02-17,1,2172.91,317,2,1,4,7,At Risk
113,2025-06-13,3,493.97,201,3,3,2,8,Potential Loyalists
114,2025-09-14,6,2672.2400000000002,108,4,5,5,14,Champions
115,2025-08-28,7,3317.91,125,4,5,5,14,Champions
116,2025-01-04,2,687.26,361,2,2,2,6,At Risk
117,2025-02-19,2,880.1,315,2,2,3,7,At Risk
119,2024-07-29,1,806.19,520,1,1,3,5,Hibernating
120,2025-01-03,2,733.8900000000001,362,2,2,3,7,At Risk
121,2024-11-23,1,589.32,403,2,1,2,5,Hibernating
122,2025-01-24,3,1078.49,341,2,3,3,8,Potential Loyalists
123,2024-12-10,1,863.87,386,2,1,3,6,At Risk
124,2025-12-08,3,2890.33,23,5,3,5,13,Champions
125,2025-10-08,2,1257.16,84,4,2,3,9,Potential Loyalists
126,2025-01-02,1,652.09,363,2,1,2,5,Hibernating
127,2025-06-04,1,61.93,210,3,1,1,5,Hibernating
128,2024-10-20,2,806.5200000000001,437,1,2,3,6,At Risk
129,2025-10-20,1,583.45,72,4,1,2,7,At Risk
130,2024-04-13,1,351.21,627,1,1,2,4,Hibernating
131,2025-02-08,1,399.84,326,2,1,2,5,Hibernating
132,2025-08-30,11,6289.0599999999995,123,4,5,5,14,Champions
134,2025-07-15,1,1199.25,169,3,1,3,7,At Risk
135,2025-04-14,3,357.35,261,2,3,2,7,At Risk
136,2025-09-16,2,1240.15,106,4,2,3,9,Potential Loyalists
139,2023-12-18,2,454.71,744,1,2,2,5,Hibernating
140,2024-08-26,6,3633.58,492,1,5,5,11,Loyal Customers
141,2025-07-18,13,5484.77,166,3,5,5,13,Champions
142,2025-01-16,1,304.7,349,2,1,2,5,Hibernating
143,2025-10-31,3,2298.31,61,4,3,4,11,Loyal Customers
146,2025-09-06,2,3030.06,116,4,2,5,11,Loyal Customers
147,2023-12-05,3,736.13,757,1,3,3,7,At Risk
148,2025-07-15,1,62.54,169,3,1,1,5,Hibernating
149,2025-08-27,1,25.99,126,4,1,1,6,At Risk
151,2025-07-20,7,2303.77,164,3,5,4,12,Loyal Customers
152,2024-03-03,1,1347.74,668,1,1,4,6,At Risk
153,2025-07-18,5,1037.0,166,3,4,3,10,Loyal Customers
154,2024-12-01,6,3077.85,395,2,5,5,12,Loyal Customers
155,2025-10-15,2,808.08,77,4,2,3,9,Potential Loyalists
156,2024-04-01,3,1124.3600000000001,639,1,3,3,7,At Risk
157,2025-09-23,3,2832.27,99,4,3,5,12,Loyal Customers
159,2025-10-19,1,779.49,73,4,1,3,8,Potential Loyalists
160,2025-11-19,1,635.01,42,5,1,2,8,Potential Loyalists
161,2025-03-17,2,558.13,289,2,2,2,6,At Risk
162,2025-02-19,2,1016.54,315,2,2,3,7,At Risk
163,2023-12-03,1,240.76,759,1,1,1,3,Hibernating
164,2025-07-04,1,39.82,180,3,1,1,5,Hibernating
165,2025-11-28,3,770.3499999999999,33,5,3,3,11,Loyal Customers
166,2025-11-20,4,1436.31,41,5,4,4,13,Champions
167,2025-08-24,3,1213.8,129,4,3,3,10,Loyal Customers
168,2024-08-09,1,167.71,509,1,1,1,3,Hibernating
170,2025-01-04,2,316.78999999999996,361,2,2,2,6,At Risk
171,2024-10-28,2,480.27,429,1,2,2,5,Hibernating
175,2025-05-03,3,1299.5300000000002,242,3,3,3,9,Potential Loyalists
176,2025-03-15,2,500.13,291,2,2,2,6,At Risk
177,2025-12-26,3,210.26,5,5,3,1,9,Potential Loyalists
178,2025-12-08,9,2150.51,23,5,5,4,14,Champions
179,2024-03-07,4,1273.9299999999998,664,1,4,3,8,Potential Loyalists
180,2025-11-11,9,4490.16,50,5,5,5,15,Champions
181,2025-04-18,4,1029.15,257,2,4,3,9,Potential Loyalists
182,2025-09-24,1,173.94,98,4,1,1,6,At Risk
183,2023-10-28,1,56.57,795,1,1,1,3,Hibernating
184,2025-10-02,4,2811.1400000000003,90,4,4,5,13,Champions
185,2025-08-28,8,3538.23,125,4,5,5,14,Champions
186,2025-11-23,1,157.4,38,5,1,1,7,At Risk
187,2025-08-13,1,76.96,140,3,1,1,5,Hibernating
188,2025-09-09,3,1013.5999999999999,113,4,3,3,10,Loyal Customers
189,2025-02-11,2,792.72,323,2,2,3,7,At Risk
190,2024-12-20,4,1145.54,376,2,4,3,9,Potential Loyalists
191,2025-10-23,4,1794.42,69,4,4,4,12,Loyal Customers
192,2024-12-14,2,550.24,382,2,2,2,6,At Risk
193,2025-05-30,1,227.66,215,3,1,1,5,Hibernating
194,2025-03-15,5,3738.9199999999996,291,2,4,5,11,Loyal Customers
195,2025-12-03,2,214.18,28,5,2,1,8,Potential Loyalists
196,2025-12-05,1,393.55,26,5,1,2,8,Potential Loyalists
198,2024-12-04,3,191.69,392,2,3,1,6,At Risk
199,2025-06-27,1,42.74,187,3,1,1,5,Hibernating
200,2025-08-11,5,3421.46,142,3,4,5,12,Loyal Customers
201,2023-11-22,1,189.67,770,1,1,1,3,Hibernating
202,2025-12-29,3,750.31,2,5,3,3,11,Loyal Customers
203,2025-09-20,4,1609.76,102,4,4,4,12,Loyal Customers
204,2024-05-25,1,43.04,585,1,1,1,3,Hibernating
205,2023-07-22,2,1027.6200000000001,893,1,2,3,6,At Risk
207,2025-11-06,2,122.13,55,5,2,1,8,Potential Loyalists
208,2024-07-08,2,1405.74,541,1,2,4,7,At Risk
209,2025-04-28,1,1357.34,247,3,1,4,8,Potential Loyalists
210,2024-08-17,2,1680.55,501,1,2,4,7,At Risk
211,2025-03-16,1,197.03,290,2,1,1,4,Hibernating
212,2025-11-18,11,4783.05,43,5,5,5,15,Champions
213,2025-11-28,1,280.66,33,5,1,2,8,Potential Loyalists
214,2025-10-22,2,1572.82,70,4,2,4,10,Loyal Customers
215,2025-10-18,2,1668.85,74,4,2,4,10,Loyal Customers
216,2025-11-02,3,2707.17,59,4,3,5,12,Loyal Customers
217,2024-09-22,1,22.52,465,1,1,1,3,Hibernating
219,2024-07-17,4,877.18,532,1,4,3,8,Potential Loyalists
220,2025-03-26,1,2420.97,280,2,1,4,7,At Risk
221,2025-01-30,9,3816.08,335,2,5,5,12,Loyal Customers
222,2025-12-17,15,4958.5,14,5,5,5,15,Champions
223,2024-08-16,1,72.7,502,1,1,1,3,Hibernating
224,2025-08-28,7,3647.8900000000003,125,4,5,5,14,Champions
225,2025-03-19,1,685.93,287,2,1,2,5,Hibernating
227,2025-09-11,3,470.48,111,4,3,2,9,Potential Loyalists
229,2025-10-30,2,847.31,62,4,2,3,9,Potential Loyalists
231,2025-03-14,1,81.42,292,2,1,1,4,Hibernating
232,2024-11-25,1,2710.6,401,2,1,5,8,Potential Loyalists
233,2023-12-21,3,826.66,741,1,3,3,7,At Risk
234,2024-07-10,1,96.81,539,1,1,1,3,Hibernating
238,2024-11-03,4,839.27,423,1,4,3,8,Potential Loyalists
239,2025-12-08,13,5800.6,23,5,5,5,15,Champions
240,2025-11-20,1,339.22,41,5,1,2,8,Potential Loyalists
242,2025-11-12,2,802.14,49,5,2,3,10,Loyal Customers
244,2025-09-28,4,1237.4,94,4,4,3,11,Loyal Customers
245,2025-11-28,1,31.39,33,5,1,1,7,At Risk
246,2023-11-24,1,85.89,768,1,1,1,3,Hibernating
247,2024-08-29,1,420.4,489,1,1,2,4,Hibernating
248,2025-10-01,7,1849.45,91,4,5,4,13,Champions
249,2024-06-17,1,80.76,562,1,1,1,3,Hibernating
250,2025-08-26,3,407.93,127,4,3,2,9,Potential Loyalists
251,2025-08-18,3,340.57,135,4,3,2,9,Potential Loyalists
252,2025-04-29,4,965.9399999999999,246,3,4,3,10,Loyal Customers
253,2025-08-24,4,911.52,129,4,4,3,11,Loyal Customers
254,2025-12-06,7,755.1000000000001,25,5,5,3,13,Champions
257,2025-01-04,5,1545.46,361,2,4,4,10,Loyal Customers
258,2025-11-26,5,4394.67,35,5,4,5,14,Champions
260,2025-04-02,8,3109.85,273,2,5,5,12,Loyal Customers
261,2025-10-19,2,158.38,73,4,2,1,7,At Risk
262,2025-01-17,4,1318.93,348,2,4,3,9,Potential Loyalists
263,2025-02-14,5,2858.59,320,2,4,5,11,Loyal Customers
264,2025-10-22,3,2069.2000000000003,70,4,3,4,11,Loyal Customers
265,2025-12-20,4,4129.74,11,5,4,5,14,Champions
266,2025-04-11,6,4999.07,264,2,5,5,12,Loyal Customers
267,2025-12-09,1,39.15,22,5,1,1,7,At Risk
268,2025-12-01,8,5210.13,30,5,5,5,15,Champions
269,2024-05-04,7,4560.95,606,1,5,5,11,Loyal Customers
271,2025-08-10,5,2655.05,143,3,4,4,11,Loyal Customers
272,2025-10-18,8,2384.31,74,4,5,4,13,Champions
273,2025-11-01,1,1007.64,60,4,1,3,8,Potential Loyalists
274,2024-04-21,3,574.5799999999999,619,1,3,2,6,At Risk
275,2025-11-20,6,2586.4900000000002,41,5,5,4,14,Champions
276,2025-05-14,2,134.61,231,3,2,1,6,At Risk
277,2025-08-19,1,1146.82,134,4,1,3,8,Potential Loyalists
278,2025-10-17,4,3195.54,75,4,4,5,13,Champions
279,2024-10-20,2,1304.3200000000002,437,1,2,3,6,At Risk
280,2025-06-01,3,3221.66,213,3,3,5,11,Loyal Customers
281,2025-12-17,5,3317.66,14,5,4,5,14,Champions
282,2025-09-02,7,3219.89,120,4,5,5,14,Champions
283,2025-11-15,4,2024.07,46,5,4,4,13,Champions
284,2024-03-12,1,136.51,659,1,1,1,3,Hibernating
285,2025-08-15,3,1415.51,138,4,3,4,11,Loyal Customers
286,2024-11-13,2,380.02,413,2,2,2,6,At Risk
288,2025-12-26,7,1002.7,5,5,5,3,13,Champions
289,2025-09-28,1,184.84,94,4,1,1,6,At Risk
290,2025-05-21,4,2776.79,224,3,4,5,12,Loyal Customers
291,2025-08-13,1,298.57,140,3,1,2,6,At Risk
292,2025-04-05,1,386.93,270,2,1,2,5,Hibernating
293,2024-09-30,1,83.36,457,1,1,1,3,Hibernating
297,2024-10-14,1,370.6,443,1,1,2,4,Hibernating
299,2025-05-29,5,2700.99,216,3,4,5,12,Loyal Customers
300,2025-09-19,6,3625.36,103,4,5,5,14,Champions
302,2025-08-24,1,837.71,129,4,1,3,8,Potential Loyalists
303,2024-09-02,2,407.28999999999996,485,1,2,2,5,Hibernating
304,2025-03-21,1,46.77,285,2,1,1,4,Hibernating
305,2025-12-24,12,5271.51,7,5,5,5,15,Champions
306,2024-03-27,1,126.16,644,1,1,1,3,Hibernating
308,2025-12-15,7,2710.09,16,5,5,5,15,Champions
309,2025-07-14,1,1332.5,170,3,1,3,7,At Risk
310,2025-07-09,2,440.32,175,3,2,2,7,At Risk
311,2024-10-21,2,538.89,436,1,2,2,5,Hibernating
312,2025-05-21,3,5159.66,224,3,3,5,11,Loyal Customers
314,2025-06-11,7,903.32,203,3,5,3,11,Loyal Customers
315,2025-11-11,6,2626.74,50,5,5,4,14,Champions
316,2025-10-11,1,81.34,81,4,1,1,6,At Risk
317,2025-12-12,2,689.74,19,5,2,2,9,Potential Loyalists
318,2025-04-20,1,716.32,255,3,1,2,6,At Risk
320,2024-07-31,3,4068.1,518,1,3,5,9,Potential Loyalists
321,2025-11-10,11,4982.85,51,5,5,5,15,Champions
322,2025-06-13,2,219.54,201,3,2,1,6,At Risk
323,2024-02-21,1,204.11,679,1,1,1,3,Hibernating
325,2025-06-18,1,36.34,196,3,1,1,5,Hibernating
327,2025-09-22,4,994.29,100,4,4,3,11,Loyal Customers
328,2025-08-28,2,428.26,125,4,2,2,8,Potential Loyalists
329,2025-07-22,1,199.65,162,3,1,1,5,Hibernating
331,2024-12-14,2,2080.48,382,2,2,4,8,Potential Loyalists
332,2025-06-17,2,165.74,197,3,2,1,6,At Risk
333,2025-11-23,6,2747.07,38,5,5,5,15,Champions
334,2025-01-05,3,888.83,360,2,3,3,8,Potential Loyalists
335,2025-12-23,2,421.91,8,5,2,2,9,Potential Loyalists
336,2025-11-20,10,4886.64,41,5,5,5,15,Champions
337,2025-08-12,4,2121.26,141,3,4,4,11,Loyal Customers
338,2025-09-25,1,31.76,97,4,1,1,6,At Risk
339,2025-04-07,1,284.13,268,2,1,2,5,Hibernating
340,2024-12-15,1,521.81,381,2,1,2,5,Hibernating
341,2024-11-30,4,1571.1499999999999,396,2,4,4,10,Loyal Customers
342,2024-05-19,3,1019.66,591,1,3,3,7,At Risk
343,2025-12-23,3,1032.06,8,5,3,3,11,Loyal Customers
344,2025-05-22,4,3048.33,223,3,4,5,12,Loyal Customers
346,2025-12-13,3,2804.1,18,5,3,5,13,Champions
347,2024-10-23,2,772.0899999999999,434,1,2,3,6,At Risk
348,2025-07-19,1,1316.76,165,3,1,3,7,At Risk
349,2024-02-01,2,362.57,699,1,2,2,5,Hibernating
350,2024-10-26,1,163.24,431,1,1,1,3,Hibernating
351,2025-10-09,15,6180.03,83,4,5,5,14,Champions
353,2025-08-02,1,24.08,151,3,1,1,5,Hibernating
354,2025-03-30,9,3809.91,276,2,5,5,12,Loyal Customers
355,2025-04-26,1,102.85,249,3,1,1,5,Hibernating
356,2025-11-06,6,2485.23,55,5,5,4,14,Champions
358,2025-10-03,3,1359.5900000000001,89,4,3,4,11,Loyal Customers
359,2024-11-08,2,1095.09,418,2,2,3,7,At Risk
360,2024-08-21,4,1621.1399999999999,497,1,4,4,9,Potential Loyalists
362,2025-08-01,1,227.73,152,3,1,1,5,Hibernating
363,2025-07-12,6,4073.8900000000003,172,3,5,5,13,Champions
365,2025-09-23,1,162.42,99,4,1,1,6,At Risk
367,2025-06-21,3,1624.69,193,3,3,4,10,Loyal Customers
369,2025-12-28,5,5112.62,3,5,4,5,14,Champions
370,2025-09-24,2,1114.38,98,4,2,3,9,Potential Loyalists
371,2025-12-01,1,238.1,30,5,1,1,7,At Risk
372,2025-11-14,12,2513.13,47,5,5,4,14,Champions
373,2025-04-13,1,2457.67,262,2,1,4,7,At Risk
374,2025-02-28,2,389.33,306,2,2,2,6,At Risk
375,2025-12-17,1,259.02,14,5,1,1,7,At Risk
376,2025-07-31,5,1243.3400000000001,153,3,4,3,10,Loyal Customers
377,2025-11-15,3,699.58,46,5,3,2,10,Loyal Customers
378,2024-12-14,1,30.49,382,2,1,1,4,Hibernating
380,2025-11-29,4,1521.8799999999999,32,5,4,4,13,Champions
381,2025-02-26,2,721.35,308,2,2,2,6,At Risk
382,2025-10-07,1,948.94,85,4,1,3,8,Potential Loyalists
383,2025-10-31,8,3791.26,61,4,5,5,14,Champions
384,2025-02-23,1,211.58,311,2,1,1,4,Hibernating
386,2024-02-29,3,2005.35,671,1,3,4,8,Potential Loyalists
387,2025-09-23,4,2257.83,99,4,4,4,12,Loyal Customers
388,2025-03-11,1,1798.76,295,2,1,4,7,At Risk
389,2024-09-23,3,1281.88,464,1,3,3,7,At Risk
390,2024-08-03,2,1015.1999999999999,515,1,2,3,6,At Risk
391,2024-01-18,4,2324.7799999999997,713,1,4,4,9,Potential Loyalists
393,2025-09-22,1,145.0,100,4,1,1,6,At Risk
394,2024-05-16,3,722.61,594,1,3,3,7,At Risk
395,2025-04-12,2,1365.55,263,2,2,4,8,Potential Loyalists
396,2025-12-26,6,1952.61,5,5,5,4,14,Champions
397,2025-08-08,2,1061.03,145,3,2,3,8,Potential Loyalists
398,2025-06-03,1,115.53,211,3,1,1,5,Hibernating
399,2025-05-02,8,2022.45,243,3,5,4,12,Loyal Customers
400,2024-01-26,1,518.25,705,1,1,2,4,Hibernating
401,2023-12-06,1,43.83,756,1,1,1,3,Hibernating
402,2025-06-03,2,1071.32,211,3,2,3,8,Potential Loyalists
403,2025-10-22,2,679.61,70,4,2,2,8,Potential Loyalists
404,2025-11-19,4,373.27,42,5,4,2,11,Loyal Customers
406,2025-10-14,3,2808.8900000000003,78,4,3,5,12,Loyal Customers
408,2024-08-09,1,32.96,509,1,1,1,3,Hibernating
410,2025-04-17,5,792.4200000000001,258,2,4,3,9,Potential Loyalists
411,2025-11-21,5,1812.02,40,5,4,4,13,Champions
412,2025-11-08,2,484.41,53,5,2,2,9,Potential Loyalists
413,2025-11-18,6,1546.59,43,5,5,4,14,Champions
416,2025-09-10,1,137.2,112,4,1,1,6,At Risk
418,2025-12-15,4,643.97,16,5,4,2,11,Loyal Customers
419,2025-01-15,1,192.25,350,2,1,1,4,Hibernating
420,2025-06-18,4,291.64,196,3,4,2,9,Potential Loyalists
421,2025-09-03,2,518.26,119,4,2,2,8,Potential Loyalists
422,2025-06-18,5,1307.75,196,3,4,3,10,Loyal Customers
423,2024-10-02,6,2390.27,455,1,5,4,10,Loyal Customers
425,2024-08-04,1,867.5,514,1,1,3,5,Hibernating
426,2025-11-07,12,2794.4,54,5,5,5,15,Champions
427,2025-09-23,5,4103.599999999999,99,4,4,5,13,Champions
428,2025-12-13,10,5183.15,18,5,5,5,15,Champions
429,2025-07-29,2,682.62,155,3,2,2,7,At Risk
431,2024-02-25,1,1020.64,675,1,1,3,5,Hibernating
432,2025-06-16,5,2617.19,198,3,4,4,11,Loyal Customers
433,2024-06-20,6,2447.43,559,1,5,4,10,Loyal Customers
434,2025-11-17,8,1716.77,44,5,5,4,14,Champions
435,2024-10-25,1,507.31,432,1,1,2,4,Hibernating
436,2025-03-18,1,251.48,288,2,1,1,4,Hibernating
437,2025-10-27,2,461.01,65,4,2,2,8,Potential Loyalists
438,2025-08-04,1,253.62,149,3,1,1,5,Hibernating
439,2025-05-12,2,594.74,233,3,2,2,7,At Risk
440,2025-11-30,4,1210.0,31,5,4,3,12,Loyal Customers
441,2025-04-16,3,998.55,259,2,3,3,8,Potential Loyalists
443,2025-11-16,3,2591.87,45,5,3,4,12,Loyal Customers
444,2025-08-15,2,625.6700000000001,138,4,2,2,8,Potential Loyalists
445,2025-09-15,9,4212.79,107,4,5,5,14,Champions
446,2025-11-10,14,7822.68,51,5,5,5,15,Champions
447,2024-10-14,4,1075.6000000000001,443,1,4,3,8,Potential Loyalists
448,2025-06-12,16,5141.4800000000005,202,3,5,5,13,Champions
449,2025-12-16,10,3000.15,15,5,5,5,15,Champions
451,2025-12-12,3,1124.02,19,5,3,3,11,Loyal Customers
453,2025-12-21,3,1372.0,10,5,3,4,12,Loyal Customers
454,2025-11-24,11,4122.36,37,5,5,5,15,Champions
455,2025-01-25,2,134.18,340,2,2,1,5,Hibernating
456,2024-11-08,1,549.41,418,2,1,2,5,Hibernating
457,2025-05-02,3,2233.74,243,3,3,4,10,Loyal Customers
458,2025-08-05,4,1033.0,148,3,4,3,10,Loyal Customers
459,2025-06-07,1,303.32,207,3,1,2,6,At Risk
461,2025-04-04,1,2592.6,271,2,1,4,7,At Risk
462,2024-11-12,5,2034.25,414,2,4,4,10,Loyal Customers
463,2025-11-17,3,865.75,44,5,3,3,11,Loyal Customers
464,2025-08-25,1,56.74,128,4,1,1,6,At Risk
467,2025-09-04,1,620.55,118,4,1,2,7,At Risk
468,2025-09-01,6,4373.97,121,4,5,5,14,Champions
469,2024-09-06,1,65.5,481,1,1,1,3,Hibernating
470,2025-03-20,4,7508.71,286,2,4,5,11,Loyal Customers
471,2025-08-20,5,415.62,133,4,4,2,10,Loyal Customers
472,2025-09-30,7,1957.34,92,4,5,4,13,Champions
473,2024-11-10,7,3553.13,416,2,5,5,12,Loyal Customers
474,2024-07-14,1,12.12,535,1,1,1,3,Hibernating
476,2025-08-27,13,4240.58,126,4,5,5,14,Champions
477,2025-05-18,9,2982.9900000000002,227,3,5,5,13,Champions
478,2025-05-19,5,606.0999999999999,226,3,4,2,9,Potential Loyalists
479,2025-06-15,8,2578.09,199,3,5,4,12,Loyal Customers
481,2025-12-25,17,8122.04,6,5,5,5,15,Champions
482,2024-11-04,2,609.05,422,1,2,2,5,Hibernating
483,2025-11-22,9,4008.62,39,5,5,5,15,Champions
484,2025-05-13,2,276.11,232,3,2,1,6,At Risk
485,2025-11-27,1,978.58,34,5,1,3,9,Potential Loyalists
486,2024-08-13,1,550.9,505,1,1,2,4,Hibernating
487,2025-07-09,6,814.12,175,3,5,3,11,Loyal Customers
488,2025-03-10,1,102.25,296,2,1,1,4,Hibernating
489,2023-09-24,1,167.62,829,1,1,1,3,Hibernating
491,2025-06-11,5,1875.0700000000002,203,3,4,4,11,Loyal Customers
492,2025-08-30,4,687.47,123,4,4,2,10,Loyal Customers
493,2025-05-31,3,1370.53,214,3,3,4,10,Loyal Customers
494,2025-09-17,5,1445.1,105,4,4,4,12,Loyal Customers
495,2025-10-09,1,761.93,83,4,1,3,8,Potential Loyalists
498,2025-10-23,3,1092.32,69,4,3,3,10,Loyal Customers
499,2024-12-18,1,2544.41,378,2,1,4,7,At Risk
500,2025-12-29,6,2070.8,2,5,5,4,14,Champions
501,2025-11-03,1,86.87,58,4,1,1,6,At Risk
502,2025-10-19,12,4646.71,73,4,5,5,14,Champions
503,2025-06-16,5,377.8,198,3,4,2,9,Potential Loyalists
504,2025-04-07,1,365.14,268,2,1,2,5,Hibernating
505,2025-01-24,2,161.20999999999998,341,2,2,1,5,Hibernating
506,2025-11-21,6,4242.0199999999995,40,5,5,5,15,Champions
507,2024-04-08,1,298.9,632,1,1,2,4,Hibernating
508,2025-11-26,1,51.13,35,5,1,1,7,At Risk
509,2025-02-10,4,1186.8899999999999,324,2,4,3,9,Potential Loyalists
510,2025-05-01,2,617.21,244,3,2,2,7,At Risk
511,2025-01-03,1,1137.68,362,2,1,3,6,At Risk
513,2025-04-26,1,857.03,249,3,1,3,7,At Risk
515,2025-10-11,14,5422.650000000001,81,4,5,5,14,Champions
516,2025-08-14,6,2667.73,139,3,5,5,13,Champions
517,2025-12-01,6,770.81,30,5,5,3,13,Champions
518,2025-11-29,8,3793.9700000000003,32,5,5,5,15,Champions
519,2025-08-28,1,114.38,125,4,1,1,6,At Risk
520,2024-10-30,9,4313.1900000000005,427,1,5,5,11,Loyal Customers
521,2025-01-17,4,1311.46,348,2,4,3,9,Potential Loyalists
